c,N,visc
0.0017848730944687499,150.0,1.29855
0.00229572124838775,150.0,1.62076
0.00298630487475675,150.0,1.98374
0.0040642184442555,150.0,2.63414
0.0053123814473805,150.0,3.39667
0.0062425125173092505,150.0,4.61442
0.00837317669016375,150.0,6.02828
0.010769549803123502,150.0,8.62793
0.0138518134495605,150.0,17.3316
0.015608428133638502,150.0,24.56432
0.021832567691541748,150.0,128.23282
0.00039491877418875007,335.0,1.14354
0.0005549831977094999,335.0,1.38151
0.00074080970561475,335.0,1.69091
0.000993737456568,335.0,2.04279
0.00136109679164775,335.0,2.45186
0.0017848730944687499,335.0,3.09031
0.0024213363730222503,335.0,3.895
0.0033650474564250006,335.0,5.08843
0.00465405035301225,335.0,7.2119
0.00631340817588675,335.0,9.79746
0.008592154407432,335.0,14.02253
0.010112816357399251,335.0,19.68094
0.012798863140124251,335.0,33.04621
0.01578566728008225,335.0,59.22552
0.02050112725284825,335.0,208.41034
0.023858486025174,335.0,824.68906
9.975318720975001e-05,740.0,1.4134
0.00012950939320425,740.0,1.72431
0.000167353695459,740.0,1.87681
0.000212886681813,740.0,2.13121
0.0002694035025945,740.0,2.45186
0.00034319489933925,740.0,2.81158
0.0004343607250875,740.0,3.19269
0.00053830773998775,740.0,3.62547
0.0006747069929692501,740.0,4.11691
0.0008580371748682501,740.0,4.72091
0.0010964862349852503,740.0,5.53846
0.0014332905397485,740.0,6.6259
0.00186136052330025,740.0,7.84973
0.00267176779796925,740.0,10.56019
0.0037370998843965,740.0,14.16032
0.00583351446444525,740.0,23.85418
0.007625177565651,740.0,34.47657
0.009209346049217252,740.0,47.45151
0.011524638493494001,740.0,70.16468
1.7174722923000002e-05,1400.0,1.5842
3.385018064475e-05,1400.0,2.3197
6.620256568574999e-05,1400.0,3.47506
0.00011233467028125,1400.0,4.87732
0.00022087492503300001,1400.0,6.02828
0.0011089678650165003,1400.0,14.77324
0.0022589753295757502,1400.0,25.13123
0.0022480913481885,1400.0,29.10143
0.00456478173502875,1400.0,52.15568
0.005566906846977749,1400.0,80.45861
0.00812034879225075,1400.0,136.42534
0.009404558742906001,1400.0,191.47603
0.012018411777530252,1400.0,302.19993
0.014894978161052251,1400.0,539.84117
0.01807689514165875,1400.0,1109.44863
3.105429551775e-05,2220.0,4.81521
6.580315352475001e-05,2220.0,6.0248
0.00011652849797175001,2220.0,7.44232
0.00016555634073450002,2220.0,8.79039
0.00019920681529875,2220.0,11.21187
0.00023275743682275003,2220.0,10.51647
0.00032232561392700005,2220.0,12.50118
0.0004020083400465,2220.0,15.44247
0.00046801119965175005,2220.0,15.94486
0.0008113059520312501,2220.0,23.56395
0.001195041185712,2220.0,31.03284
0.0016553637012645002,2220.0,40.34906
0.002243498108337,2220.0,52.12722
0.0032573060259952504,2220.0,78.52978
0.0040037075018640005,2220.0,97.00632
0.0051024903567750005,2220.0,134.46823
0.007170646526433001,2220.0,228.78326
0.011273508097265253,2220.0,738.42531
2.0569726291500004e-05,3330.0,4.29103
2.6960320867500002e-05,3330.0,4.7236
5.2722405252e-05,3330.0,6.67475
0.0001064433409065,3330.0,10.05552
0.00021568256694000002,3330.0,13.41343
0.000268005560031,3330.0,14.95591
0.000324722086893,3330.0,16.2541
0.00040929761198475,3330.0,18.59342
0.0005370096504645,3330.0,21.96138
0.0010799106303037498,3330.0,35.72718
0.00161392468956075,3330.0,50.8091
0.00243831138986475,3330.0,71.33829
0.0033167185849440005,3330.0,109.55565
0.00659778963451875,3330.0,327.45211
0.00900724349575125,3330.0,641.40075
0.011273508097265253,3330.0,1170.90746
9.176494398975e-05,4995.0,11.50273
0.00012311879862825,4995.0,13.5863
0.000324722086893,4995.0,24.33056
0.0006073061908005,4995.0,37.60494
0.000645849464337,4995.0,50.8091
0.001004521584915,4995.0,67.77608
0.0015011906071185001,4995.0,99.52293
0.00309634292511225,4995.0,265.08316
0.006249102817965751,4995.0,953.97652
0.0113966268958935,4995.0,3803.51983
5.671652686200001e-05,10350.0,26.27371
0.00011123628683850002,10350.0,41.92935
0.00011283393548250001,10350.0,41.66174
0.00016325972080875,10350.0,52.12722
0.00022446963448200002,10350.0,60.78595
0.00029766191298525,10350.0,58.49498
0.00030644898052725,10350.0,74.60847
0.00039621686371200005,10350.0,81.08457
0.00040929761198475,10350.0,101.45313
0.0005836410202612501,10350.0,102.76069
0.00098644818462975,10350.0,166.10601
0.001735046427384,10350.0,353.60397
0.0028079673448702506,10350.0,629.19771
0.004166268251391,10350.0,1493.45496
0.01011341547564075,10350.0,20886.83194
0.011902582250840251,10350.0,34860.5949
